iter	RMSE
0	14.80550625
1	14.42509047
2	14.04648517
3	13.67680032
4	13.3360928
5	13.04289459
6	12.74204392
7	12.46062676
8	12.19379335
9	11.90001272
10	11.60806856
11	11.36678982
12	11.14413296
13	10.88335689
14	10.65077399
15	10.45775452
16	10.24413046
17	10.02748006
18	9.814315549
19	9.629892753
20	9.475761971
21	9.303157235
22	9.126970375
23	8.959746048
24	8.79905586
25	8.658843225
26	8.51812234
27	8.391901214
28	8.256220892
29	8.12788518
30	8.02991867
31	7.905666838
32	7.790620783
33	7.693481759
34	7.583593403
35	7.487356627
36	7.390585416
37	7.303224697
38	7.217996556
39	7.137602696
40	7.060361163
41	6.990882877
42	6.917727824
43	6.856755057
44	6.791990938
45	6.730355478
46	6.673129611
47	6.61559148
48	6.555469862
49	6.506833829
50	6.456127432
51	6.411015235
52	6.358352308
53	6.315616753
54	6.271508627
55	6.233057583
56	6.191321595
57	6.157751301
58	6.113513775
59	6.079567761
60	6.047764907
61	6.009971333
62	5.98234418
63	5.948099568
64	5.922062038
65	5.89312751
66	5.86833398
67	5.843780187
68	5.822030147
69	5.796126388
70	5.762248976
71	5.743152095
72	5.72245458
73	5.697437349
74	5.676817673
75	5.654521759
76	5.639841554
77	5.615464078
78	5.598929512
79	5.577462845
80	5.567224065
81	5.546386045
82	5.530744614
83	5.514184847
84	5.506482615
85	5.491115315
86	5.483385644
87	5.472587157
88	5.459537633
89	5.444910904
90	5.431259928
91	5.418823926
92	5.40484072
93	5.389698242
94	5.377907681
95	5.366469986
96	5.354228143
97	5.339501831
98	5.329741072
99	5.320165174
100	5.31596044
101	5.303644079
102	5.292047583
103	5.283247998
104	5.275783503
105	5.265102221
106	5.25828442
107	5.247891111
108	5.241872716
109	5.23443263
110	5.226288915
111	5.220781714
112	5.214003752
113	5.205544993
114	5.198798404
115	5.191691544
116	5.183003887
117	5.176809202
118	5.1725079
119	5.164134003
120	5.155291557
121	5.151650679
122	5.148925393
123	5.140758303
124	5.131717879
125	5.123685431
126	5.116214272
127	5.113496743
128	5.109335349
129	5.101653253
130	5.089833878
131	5.081724019
132	5.075526925
133	5.068203369
134	5.06040699
135	5.054978248
136	5.054195494
137	5.051556106
138	5.047158318
139	5.043782824
140	5.039817386
141	5.03206399
142	5.03043572
143	5.027157907
144	5.021556643
145	5.018426712
146	5.013904379
147	5.005826004
148	5.000306364
149	4.996185188
150	4.991070468
151	4.990067284
152	4.988235362
153	4.983181239
154	4.977160619
155	4.971722463
156	4.966462752
