iter	Passed	Remaining
0	1	1067
1	1	911
2	2	852
3	3	881
4	4	847
5	5	830
6	5	818
7	6	803
8	7	792
9	7	785
10	8	778
11	9	771
12	10	762
13	10	757
14	11	756
15	12	754
16	12	748
17	13	743
18	14	740
19	15	739
20	15	736
21	16	735
22	17	732
23	18	738
24	19	746
25	20	777
26	21	774
27	22	769
28	22	766
29	23	763
30	24	760
31	25	758
32	25	758
33	26	756
34	27	753
35	28	756
36	29	757
37	29	758
38	30	757
39	31	756
40	32	754
41	33	753
42	33	755
43	34	756
44	35	757
45	36	752
46	37	750
47	37	749
48	38	748
49	39	749
50	40	748
51	40	747
52	41	746
53	42	744
54	43	743
55	44	742
56	44	740
57	45	739
58	46	738
59	46	736
60	47	734
61	48	735
62	49	734
63	50	733
64	50	733
65	51	732
66	52	731
67	53	730
68	54	729
69	54	728
70	55	727
71	56	727
72	57	727
73	58	725
74	58	725
75	59	723
76	60	722
77	61	721
78	61	719
79	62	717
80	63	717
81	64	717
82	64	717
83	65	716
84	66	712
85	67	712
86	67	708
87	68	708
88	69	706
89	69	705
90	70	703
91	71	702
92	71	701
93	72	700
94	73	698
95	73	696
96	74	694
97	75	692
98	75	690
99	76	688
100	76	685
101	77	683
102	78	683
103	79	682
104	80	682
105	80	681
106	81	679
107	82	678
108	82	676
109	83	672
110	83	671
111	84	669
112	85	668
113	85	666
114	86	665
115	87	663
116	87	662
117	88	661
118	88	658
119	89	656
120	90	655
121	90	654
122	91	650
123	91	649
124	92	648
125	93	647
126	94	646
127	94	643
128	95	642
129	95	641
130	96	640
131	97	639
132	97	638
133	98	636
134	99	635
135	99	634
136	100	631
137	101	631
138	101	629
139	102	628
140	102	627
141	103	625
142	104	623
143	104	623
144	105	621
145	106	620
146	106	619
147	107	618
148	108	618
149	109	617
150	109	616
151	109	613
152	110	612
153	111	612
154	112	614
155	113	615
156	114	615
157	115	615
158	116	614
159	116	613
160	117	612
161	118	611
162	119	611
163	119	610
164	120	609
165	121	608
166	121	607
167	122	606
168	123	605
169	123	604
170	124	603
171	125	602
172	125	601
173	126	601
174	127	600
175	128	600
176	128	599
177	129	598
178	130	597
179	131	597
180	131	596
181	132	595
182	133	594
183	134	594
184	134	593
185	135	592
186	136	592
187	136	591
188	137	591
189	138	590
190	139	589
191	139	588
192	140	588
193	141	587
194	142	586
195	142	586
196	143	585
197	144	584
198	144	583
199	145	582
200	146	581
201	147	580
202	147	579
203	148	578
204	149	577
205	149	576
206	150	575
207	151	575
208	151	574
209	152	573
210	153	573
211	154	572
212	154	572
213	155	571
214	156	571
215	157	570
216	158	570
217	158	569
218	159	568
219	160	567
220	160	566
221	161	565
222	162	564
223	162	563
224	163	562
225	163	561
226	164	560
227	165	560
228	166	559
229	166	558
230	167	558
231	168	557
232	169	556
233	169	555
234	170	554
235	171	554
236	171	553
237	172	552
238	173	551
239	174	551
240	174	550
241	175	549
242	176	548
243	176	547
244	177	547
245	178	546
246	178	545
247	179	544
248	180	543
249	181	543
250	181	542
251	182	542
252	183	541
253	184	540
254	184	540
255	185	539
256	186	538
257	186	537
258	187	536
259	188	535
260	188	534
261	189	534
262	190	533
263	190	532
264	191	531
265	192	529
266	192	528
267	193	527
268	193	526
269	194	525
270	194	524
271	195	523
272	196	522
273	196	521
274	197	520
275	198	519
276	199	520
277	200	519
278	200	518
279	201	518
280	202	517
281	202	516
282	203	515
283	204	514
284	204	513
285	205	512
286	206	511
287	206	510
288	207	510
289	207	509
290	208	508
291	209	507
292	210	506
293	210	505
294	211	505
295	212	504
296	212	503
297	213	503
298	214	502
299	215	501
300	215	501
301	216	500
302	217	499
303	217	498
304	218	497
305	219	497
306	219	496
307	220	495
308	221	494
309	222	494
310	222	493
311	223	492
312	224	491
313	224	491
314	225	490
315	226	489
316	227	489
317	227	488
318	228	487
319	229	487
320	229	486
321	230	485
322	231	484
323	232	484
324	232	483
325	233	482
326	234	481
327	234	481
328	235	480
329	236	479
330	236	478
331	237	478
332	238	477
333	239	476
334	240	476
335	240	475
336	241	475
337	242	475
338	243	474
339	244	473
340	244	473
341	245	472
342	246	471
343	247	471
344	247	470
345	248	469
346	249	469
347	250	468
348	250	467
349	251	467
350	252	466
351	252	465
352	253	465
353	254	464
354	255	463
355	255	462
356	256	462
357	257	461
358	258	461
359	259	460
360	259	459
361	260	459
362	261	458
363	261	457
364	262	456
365	263	456
366	264	455
367	265	455
368	265	454
369	266	453
370	267	453
371	267	452
372	268	451
373	269	450
374	270	450
375	270	449
376	271	448
377	272	448
378	273	447
379	273	446
380	274	446
381	275	445
382	275	444
383	276	443
384	277	442
385	278	442
386	279	442
387	279	441
388	280	440
389	281	440
390	282	439
391	282	438
392	283	437
393	284	437
394	285	436
395	285	435
396	287	436
397	288	435
398	288	435
399	289	434
400	290	433
401	291	432
402	291	432
403	292	431
404	293	430
405	293	430
406	294	429
407	295	428
408	295	427
409	296	426
410	297	426
411	297	425
412	298	424
413	299	423
414	299	422
415	300	422
416	302	422
417	302	421
418	303	421
419	304	420
420	305	419
421	306	419
422	306	418
423	307	418
424	308	417
425	309	416
426	310	416
427	310	415
428	311	414
429	312	413
430	312	412
431	313	412
432	314	411
433	314	410
434	315	410
435	316	409
436	318	409
437	318	409
438	319	408
439	320	407
440	321	407
441	322	406
442	322	405
443	323	405
444	324	404
445	325	403
446	325	403
447	326	402
448	327	401
449	327	400
450	328	400
